iter	R2	RMSE
780	0.6662714002	0.5767430463
785	0.6665281399	0.5765210418
790	0.6667166062	0.5763581541
795	0.6669578293	0.5761495094
800	0.6671901253	0.5759486034
805	0.6673585526	0.5758029077
810	0.6675559781	0.5756320265
815	0.6678386608	0.5753871166
820	0.6681019839	0.575158939
825	0.6683142535	0.5749751223
830	0.6685227873	0.5747943561
835	0.6687901613	0.5745625214
840	0.6689777916	0.5743997006
845	0.6691940581	0.5742120756
850	0.6694279129	0.5740091328
855	0.6696518956	0.5738144996
860	0.6698413493	0.5736499654
865	0.6699872123	0.573523205
870	0.6701714019	0.5733631212
875	0.6703648465	0.5731949708
880	0.6705286709	0.573052516
885	0.6707349104	0.5728731852
890	0.6709429619	0.5726920961
895	0.6711512363	0.5725108929
900	0.6713560417	0.5723325279
905	0.6715447817	0.572168249
910	0.6717644794	0.5719767674
915	0.6719039219	0.5718552617
920	0.6721129905	0.5716730259
925	0.6723164039	0.5714957072
930	0.6725275184	0.5713116788
935	0.6727001184	0.5711610453
940	0.6729245425	0.570965242
945	0.6731123372	0.5708012243
950	0.6732763142	0.5706578872
955	0.6734734832	0.5704857782
960	0.6736320508	0.5703473472
965	0.6737782956	0.5702194822
970	0.6739337312	0.5700836085
975	0.6741099409	0.569929486
980	0.6742741918	0.5697859867
985	0.6744814657	0.5696046291
990	0.6746619256	0.5694467249
995	0.6748468682	0.5692848098
1000	0.6750580963	0.5690998951
1005	0.6752019968	0.5689738915
1010	0.6753600297	0.5688354353
1015	0.675543794	0.5686743461
1020	0.6757053429	0.5685327876
1025	0.6759295225	0.5683363076
1030	0.6761267708	0.5681632951
1035	0.6763197656	0.5679940059
1040	0.6764285435	0.5678984277
1045	0.6766123874	0.5677371299
1050	0.67677881	0.5675910153
1055	0.6769710683	0.5674222712
1060	0.6771193694	0.5672919425
1065	0.6773125563	0.5671221927
1070	0.6774767329	0.5669778682
1075	0.6776291106	0.5668439405
1080	0.6777664473	0.5667231405
1085	0.6779471712	0.5665642612
1090	0.6780691845	0.56645694
1095	0.6782368672	0.5663093475
1100	0.6784251285	0.5661436652
1105	0.6786229844	0.5659695806
1110	0.6787827227	0.5658288099
1115	0.6789869613	0.5656488262
1120	0.6792173727	0.565445942
1125	0.6793577289	0.5653221993
1130	0.6795272449	0.565172643
1135	0.6796679853	0.5650485815
1140	0.6798315886	0.5649043313
1145	0.6799983472	0.5647571673
1150	0.6801302118	0.5646406688
1155	0.6802432439	0.5645410693
1160	0.6804095077	0.5643941848
1165	0.680573789	0.5642490761
1170	0.6807188172	0.564120981
1175	0.6808543987	0.5640012687
1180	0.6810262593	0.5638492297
1185	0.6811504217	0.563739576
1190	0.6812650123	0.5636383471
1195	0.6813944683	0.5635237221
1200	0.6815340157	0.5634003934
1205	0.6817335617	0.5632239031
1210	0.6818677581	0.5631052408
1215	0.6820190767	0.5629711422
1220	0.6822054557	0.5628062671
1225	0.6823369215	0.5626897112
1230	0.6825361624	0.562513229
1235	0.6826689441	0.5623956301
1240	0.6828164435	0.5622648588
1245	0.6829660661	0.562132265
1250	0.6830823759	0.5620290988
1255	0.6832688755	0.561863716
1260	0.6834219545	0.5617279037
1265	0.6835451319	0.5616186169
1270	0.6837191979	0.5614641386
1275	0.6838416987	0.5613554372
1280	0.6840285073	0.5611895083
1285	0.6841690223	0.5610647399
1290	0.6842956643	0.5609522248
1295	0.684444274	0.5608201608
1300	0.6845954629	0.5606858055
1305	0.6847064912	0.5605871843
1310	0.6848272106	0.5604798783
1315	0.684954541	0.5603666078
1320	0.6850886504	0.5602473113
1325	0.6851990944	0.560149048
1330	0.6853141243	0.560046677
1335	0.6854504869	0.5599253681
1340	0.685572853	0.559816397
1345	0.6857127387	0.559691874
1350	0.6858381016	0.5595802152
1355	0.6859744304	0.5594588052
1360	0.686131105	0.5593192427
1365	0.6862700136	0.5591954516
1370	0.6863878983	0.5590904358
1375	0.6865182257	0.5589741806
1380	0.6866810468	0.558829002
1385	0.6867893529	0.5587324085
1390	0.6869309276	0.5586060733
1395	0.6870617499	0.5584895136
1400	0.6871935762	0.5583717365
1405	0.6873034551	0.558273667
1410	0.6874409788	0.5581508375
1415	0.6875291236	0.5580722649
1420	0.6876925064	0.55792624
1425	0.6878086948	0.5578225873
1430	0.6879799479	0.5576694756
1435	0.6881305342	0.5575347981
1440	0.6882661396	0.5574137588
1445	0.6883737759	0.5573173865
1450	0.6884885908	0.5572147285
1455	0.6885831238	0.5571302204
1460	0.6887224395	0.5570055345
1465	0.6888900945	0.556855466
1470	0.689029039	0.5567311855
1475	0.6891779875	0.5565978573
1480	0.6892939179	0.5564940447
1485	0.6894420454	0.5563613898
1490	0.689579921	0.5562378751
1495	0.6896970197	0.5561329143
1500	0.6898290781	0.5560145504
1505	0.6899514022	0.5559048711
1510	0.6900823023	0.5557875403
1515	0.6902139176	0.5556695707
1520	0.690341286	0.5555552609
1525	0.6904784907	0.5554321521
1530	0.6905804463	0.5553406144
1535	0.6906849093	0.5552469548
1540	0.6908056447	0.5551385287
1545	0.6909137085	0.555041615
1550	0.6910104618	0.5549547266
1555	0.6911394818	0.5548387762
1560	0.6912427463	0.5547459984
1565	0.6913721372	0.5546297699
1570	0.6914846651	0.5545286654
1575	0.6915816789	0.5544415207
1580	0.6916751821	0.554357352
1585	0.6917511484	0.5542891459
1590	0.6918681736	0.5541839333
1595	0.6919835889	0.5540801376
1600	0.6920736277	0.55399914
1605	0.6922031212	0.5538826081
1610	0.6922848077	0.5538090629
1615	0.6924186531	0.5536886469
1620	0.692532785	0.553585903
1625	0.6926390446	0.5534901852
1630	0.6927357793	0.5534032
1635	0.6928395066	0.5533097116
1640	0.6929539434	0.553206633
1645	0.6930610603	0.5531101445
1650	0.6931574465	0.5530233346
1655	0.693245568	0.5529438277
1660	0.6933713731	0.552830512
1665	0.6934815206	0.552731136
1670	0.6936212224	0.552605134
1675	0.6937418662	0.5524964542
1680	0.6938454789	0.5524029888
1685	0.693959535	0.5523000351
1690	0.6940503104	0.5522180703
1695	0.6941426632	0.5521347102
1700	0.6942514622	0.5520365039
1705	0.6943518727	0.5519458455
1710	0.694457718	0.5518502554
1715	0.6945508874	0.5517661625
1720	0.6946454921	0.5516806431
1725	0.6947510097	0.5515853605
1730	0.694870392	0.5514775108
1735	0.6950079609	0.5513531673
1740	0.6951147324	0.5512567671
1745	0.6952030273	0.5511768579
1750	0.6952902134	0.5510980575
1755	0.6954038541	0.5509952139
1760	0.695485726	0.5509212241
1765	0.6955896927	0.5508271081
1770	0.69566332	0.5507604414
1775	0.6957299408	0.5507001984
1780	0.6958279503	0.5506115331
1785	0.6959108995	0.5505363704
1790	0.6959849615	0.5504693438
1795	0.6960591153	0.550402191
1800	0.6961517578	0.5503183197
1805	0.6962456723	0.550233343
1810	0.6963030725	0.5501812816
1815	0.6963811113	0.550110638
1820	0.6964582569	0.5500406648
1825	0.6965294188	0.5499761775
1830	0.6965924924	0.5499190396
1835	0.6966641846	0.5498541244
1840	0.6967711652	0.5497571362
1845	0.6968646292	0.5496724275
1850	0.6969433395	0.5496010386
1855	0.697037572	0.5495155961
1860	0.6971275437	0.5494340143
1865	0.6972087296	0.5493603763
1870	0.6972877338	0.5492885918
1875	0.6973930461	0.5491931901
1880	0.6974913535	0.5491037784
1885	0.6975999623	0.5490052963
1890	0.6976869146	0.5489263322
1895	0.697781587	0.5488403999
1900	0.6978495112	0.5487787323
1905	0.697926651	0.5487086484
1910	0.6980088148	0.5486341134
1915	0.698114027	0.5485384794
1920	0.6982159022	0.5484459689
1925	0.6983161402	0.5483547465
1930	0.6983907947	0.5482868902
1935	0.6984645268	0.5482199442
1940	0.6985413125	0.5481501446
1945	0.6986128902	0.5480849903
1950	0.6986758202	0.548027833
1955	0.6987620416	0.5479494693
1960	0.6988254497	0.5478917345
1965	0.6989012165	0.5478228421
1970	0.6989931836	0.5477391691
1975	0.6990760861	0.5476637604
1980	0.6991455132	0.5476005361
1985	0.6992389138	0.5475155828
1990	0.6993390664	0.5474243834
1995	0.6994233887	0.5473475659
1999	0.6994768529	0.5472989113
